ID,Label,Poi,Tag01,Tag02,Tag03,Tag04,Tag05,Tag06,Tag07,Latitude,Longitude
1,"A Dominican-inspired brunch spot that turns into a lively party with DJs, karaoke, and board games. Garlic parm wings steal the show, and birthdays feel like a true celebration. ""Fight Night!"" energy on event nights.","Kafe
",Brunch,LateNight,GarlicParmWings,Cocktails,KaraokeNights,Dominican,BoardGames,40.69668758678260,-73.90045930889770
2,"A sunlit café where locals return daily for rich coffee and perfectly made bacon, egg & cheese or lox bagels. Fast service, familiar faces, and a warm welcome make every visit feel special.","Brooklyn Barista
",Cafe,Breakfast,Bagels,Coffee,Affordable,FastService,LocalFavorite,40.69743593848330,-73.90689661024210
3,"A cozy café perfect for working, unwinding, or a relaxed brunch. Known for smooth lattes, fluffy pancakes, and a top-notch bacon, egg & cheese. Friendly staff and free coffee Wednesdays make it extra inviting.","Ridgewood’s Cafe & Lounge
",Cafe,Brunch,Lattes,BaconEggCheese,Cozy,WorkFriendly,Affordable,40.70252857983070,-73.91182717950680
4,"A sunlit café with vintage wooden tables, lush greenery, and rustic charm. Taro lattes, golden croissants, and fresh juices pair with hearty vegetarian plates in a pet-friendly, cozy space.","Tikal cafe
",Cafe,Vegetarian,Coffee,JuiceBar,PetFriendly,CozyVibe,SeasonalDrinks,40.691384913777700,-73.90488948690290
5,"A cute café with a heartfelt touch, serving Filipino brunch favorites like Tapsilog and ube lattes. Thoughtful details, from warm decor to pop-punk playlists, make every visit feel extra special.","Café Pri
",Cafe,Brunch,Filipino,UbeLatte,Waffles,Cute,Thoughtful,40.69026228112110,-73.90611257415830
6,"A no-seating coffee spot with bold brews, tamales on occasion, and a bacon egg and cheese that gets people talking. A morning pitstop with a punch.","La Raza Cafe
",Cafe,Coffee,TakeoutOnly,LocalFavorite,Tamales,BoldFlavors,MorningStop,40.6946550837179,-73.90272226211700
7,"A quirky, art-filled café with a DIY charm, known for late-night hours, open mics, and community events. A go-to for creatives, though the space can feel cluttered and coffee quality is hit-or-miss.","Caffeine Underground
",Cafe,LateNight,Events,CreativeSpace,OpenMic,Artsy,Casual,40.69249125789120,-73.91445960823500
8,"A bakery-café where vintage trinkets, nostalgic books, and art-covered walls set a creative, cozy scene. Known for custom cakes, black sesame hojicha lattes, and oversized croissants in a welcoming, dog-friendly space.","Saint Michel Cafe
",Cafe,Bakery,Coffee,CustomCakes,DogFriendly,ArtfulPastries,CozyVibe,40.695989136802,-73.908816240723
9,"A stylish, modern café with a welcoming vibe, serving Dominican breakfast and rich vanilla lattes. Friendly staff, trendy decor, and flavorful mangú make it a standout for locals and visitors alike.","AromaHaven Cafe
",Cafe,Breakfast,Dominican,Coffee,FriendlyService,Trendy,Clean,40.6975779658796,-73.92399058320490
10,"A vibrant spot with live music, mojitos made with fresh fruit, and Latin flavors like chorizo sandwiches and churrasco. Perfect for a lively dinner or weekend drinks, though prices can be steep.","Cafe Rum
",LatinFood,Dinner,Mojitos,LiveMusic,Vibrant,Drinks,Lively,40.69521551463940,-73.90299466416450
11,"The smell of rich espresso lingers as Carlos greets guests like old friends. A warm nook for quiet mornings, where a perfectly brewed coffee and a hearty breakfast feel like a small luxury.","Merv’s Cafe
",Coffee,CozyCorner,FriendlyService,new,MorningVibes,TastyFood,BushwickEats,40.69996489086330,-73.91576865621830
12,"A vibrant café with standout breakfast sandwiches, Nutella lattes, and a cozy patio. A neighborhood favorite for art shows, live comedy, and a laid-back community atmosphere.","House Party Cafe & Lounge
",Cafe,BreakfastSandwiches,SpecialtyLattes,CommunityHub,LiveComedy,ArtEvents,Outdoor,40.68888254633980,-73.91623099909730
13,"A bright spot near the park, blending a café and market with gourmet sandwiches, house-made pantry staples, and creative drinks like tonic cold brew. A go-to for quality coffee and specialty goods.","General Irving
",Cafe,GourmetSandwiches,Coffee,Market,CreativeDrinks,SunlitSpace,ParkView,40.6921040299312,-73.90923579813990
14,"A no-frills Dominican diner where the scent of home-cooked food fills the block, and the cook flips tostones with bare hands like a backyard family gathering. Mangu so thick and creamy, it could hold up a fork.","International Coffee Shop
",Cafe,Breakfast,Dominican,Homestyle,LocalFavorite,Affordable,ComfortFood,40.700799292861000,-73.89831191388950
15,"A sleek, minimalist café celebrating Ecuadorian culture with unique drinks like the Raíces and Cocada. Known for quality coffee, rotating art displays, and a welcoming space for locals and visitors alike.","Cholita
",Cafe,Coffee,Ecuadorian,Minimalist,ArtSpace,SpecialtyDrinks,Quality,40.701840411284,-73.90329009359590
16,"A coffee spot inside a supermarket with solid drinks, Wi-Fi, and quick service. Ideal for a caffeine fix while shopping or a short break by the window.","Peet's Coffee

",Cafe,Coffee,GrabAndGo,Supermarket,WiFi,QuickService,BarSeating,40.69995337216020,-73.90539294536840
17,"A plant-filled café with meticulously crafted espresso, housemade croissants, and a seasonal drink menu that keeps regulars coming back. The vegan donuts surprise even non-vegans, and the baristas take their time to perfect every cup.","HEADREST COFFEE
",Plants,HousemadeCroissants,SeasonalDrinks,VeganDonuts,Matcha,Espresso,Bushwick,40.70014396497190,-73.91590971388950
18,"The lavender latte was so delicate, it felt like drinking a flower. Their açaí bowl? The perfect consistency. A chill corner of Bushwick for slow mornings and good conversations.",Tikal cafe 2,LavenderLatte,AcaiBowl,BushwickEats,CoffeeCulture,SlowMornings,CafeVibes,,40.698395157544,-73.92095226660930
19,"A tiny walk-up café with Brooklyn-roasted beans, Vietnamese iced coffee, and bagel sandwiches with sprouts and house-made sauces. The street-side counter turns coffee runs into quick chats with neighbors.","Mixtape Bushwick
",Cafe,ColdBrew,Bagels,WalkUpWindow,VietnameseCoffee,NeighborhoodSpot,StreetVibes,40.69966406424850,-73.9139892523217
20,"The lavender matcha has a nostalgic, cereal-like sweetness. The spacious setup is perfect for working, with a sunny backyard and friendly baristas who remember regulars by name.","Lazy Suzy Cafe & Shop
",Matcha,Lavender,Bushwick,Cafe,Workspace,Backyard,Baristas,40.69965214789530,-73.92545844927360
