Id,Label,Poi,Latitude,Longitude,Tag01,Tag02,Tag03,Tag04,Tag05,Tag06,Tag07
1,"A Dominican-inspired brunch spot that turns into a lively party with DJs, karaoke, and board games. Garlic parm wings steal the show, and birthdays feel like a true celebration. ""Fight Night!"" energy on event nights.","Kafe
",40.6966875867826,-73.9004593088977,Morning,LateNight,Bites,Cocktail,Karaoke,Dominican,BoardGames
2,"A sunlit café where locals return daily for rich coffee and perfectly made bacon, egg & cheese or lox bagels. Fast service, familiar faces, and a warm welcome make every visit feel special.","Brooklyn Barista
",40.6974359384833,-73.9068966102421,Cafe,Morning,Bagel,CoffeeLovers,Affordable,GrabAndGo,LocalFavorite
3,"A cozy café perfect for working, unwinding, or a relaxed brunch. Known for smooth lattes, fluffy pancakes, and a top-notch bacon, egg & cheese. Friendly staff and free coffee Wednesdays make it extra inviting.","Ridgewood’s Cafe & Lounge
",40.7025285798307,-73.9118271795068,Cafe,Morning,CoffeeLovers,DeliTaste,CozyVibe,WorkFriendly,Affordable
4,"A sunlit café with vintage wooden tables, lush greenery, and rustic charm. Taro lattes, golden croissants, and fresh juices pair with hearty vegetarian plates in a pet-friendly, cozy space.","Tikal cafe
",40.691384913777700,-73.9048894869029,Cafe,VegetarianFriendly,CoffeeLovers,JuiceBar,PetFriendly,CozyVibe,SpecialtyDrinks
5,"A cute café with a heartfelt touch, serving Filipino brunch favorites like Tapsilog and ube lattes. Thoughtful details, from warm decor to pop-punk playlists, make every visit feel extra special.","Café Pri
",40.6902622811211,-73.9061125741583,Cafe,Morning,Filipino,SpecialtyDrinks,BakeryFav,Cute,Thoughtful
6,"A no-seating coffee spot with bold brews, tamales on occasion, and a bacon egg and cheese that gets people talking. A morning pitstop with a punch.","La Raza Cafe
",40.6946550837179,-73.902722262117,Cafe,CoffeeLovers,Takeout,LocalFavorite,Tamales,BoldFlavors,Morning
7,"A quirky, art-filled café with a DIY charm, known for late-night hours, open mics, and community events. A go-to for creatives, though the space can feel cluttered and coffee quality is hit-or-miss.","Caffeine Underground
",40.6924912578912,-73.914459608235,Cafe,LateNight,PerformanceVenue,CommunityHub,Karaoke,Artsy,Casual
8,"A bakery-café where vintage trinkets, nostalgic books, and art-covered walls set a creative, cozy scene. Known for custom cakes, black sesame hojicha lattes, and oversized croissants in a welcoming, dog-friendly space.","Saint Michel Cafe
",40.695989136802,-73.908816240723,Cafe,BakeryFav,CoffeeLovers,BakeryFav,PetFriendly,ArtfulPastries,CozyVibe
9,"A stylish, modern café with a welcoming vibe, serving Dominican breakfast and rich vanilla lattes. Friendly staff, trendy decor, and flavorful mangú make it a standout for locals and visitors alike.","AromaHaven Cafe
",40.6975779658796,-73.9239905832049,Cafe,Morning,Dominican,CoffeeLovers,Friendly,Trendy,Clean
10,"A vibrant spot with live music, mojitos made with fresh fruit, and Latin flavors like chorizo sandwiches and churrasco. Perfect for a lively dinner or weekend drinks, though prices can be steep.","Cafe Rum
",40.6952155146394,-73.9029946641645,LatinFood,Diner,SpecialtyDrinks,PerformanceVenue,Vibrant,SpecialtyDrinks,EnergyVibe
11,"The smell of rich espresso lingers as Carlos greets guests like old friends. A warm nook for quiet mornings, where a perfectly brewed coffee and a hearty breakfast feel like a small luxury.","Merv’s Cafe
",40.6999648908633,-73.9157686562183,CoffeeLovers,CozyVibe,Friendly,new,Morning,TastyFood,LocalFavorite
12,"A vibrant café with standout breakfast sandwiches, Nutella lattes, and a cozy patio. A neighborhood favorite for art shows, live comedy, and a laid-back community atmosphere.","House Party Cafe & Lounge
",40.6888825463398,-73.9162309990973,Cafe,Morning,SpecialtyDrinks,CommunityHub,Comedy,ArtisticEnergy,OutdoorSeating
13,"A bright spot near the park, blending a café and market with gourmet sandwiches, house-made pantry staples, and creative drinks like tonic cold brew. A go-to for quality coffee and specialty goods.","General Irving
",40.6921040299312,-73.9092357981399,Cafe,Gourmet,CoffeeLovers,Market,SpecialtyDrinks,SunlitSpace,ParkView
14,"A no-frills Dominican diner where the scent of home-cooked food fills the block, and the cook flips tostones with bare hands like a backyard family gathering. Mangu so thick and creamy, it could hold up a fork.","International Coffee Shop
",40.700799292861,-73.8983119138895,Cafe,Morning,Dominican,FamilyStyle,LocalFavorite,Affordable,ComfortFood
15,"A sleek, minimalist café celebrating Ecuadorian culture with unique drinks like the Raíces and Cocada. Known for quality coffee, rotating art displays, and a welcoming space for locals and visitors alike.","Cholita
",40.701840411284,-73.9032900935959,Cafe,CoffeeLovers,Ecuadorian,Minimalist,ArtisticEnergy,SpecialtyDrinks,Quality
16,"A coffee spot inside a supermarket with solid drinks, Wi-Fi, and quick service. Ideal for a caffeine fix while shopping or a short break by the window.","Peet's Coffee

",40.6999533721602,-73.9053929453684,Cafe,CoffeeLovers,GrabAndGo,Market,WorkFriendly,GrabAndGo,Bar
17,"A plant-filled café with meticulously crafted espresso, housemade croissants, and a seasonal drink menu that keeps regulars coming back. The vegan donuts surprise even non-vegans, and the baristas take their time to perfect every cup.","HEADREST COFFEE
",40.7001439649719,-73.9159097138895,Plants,BakeryFav,SpecialtyDrinks,VegetarianFriendly,CoffeeLovers,CoffeeLovers,LocalFavorite
18,"The lavender latte was so delicate, it felt like drinking a flower. Their açaí bowl? The perfect consistency. A chill corner of Bushwick for slow mornings and good conversations.",Tikal cafe 2,40.698395157544,-73.9209522666093,SpecialtyDrinks,Bites,LocalFavorite,CoffeeLovers,Morning,CoffeeLovers,
19,"A tiny walk-up café with Brooklyn-roasted beans, Vietnamese iced coffee, and bagel sandwiches with sprouts and house-made sauces. The street-side counter turns coffee runs into quick chats with neighbors.","Mixtape Bushwick
",40.6996640642485,-73.9139892523217,Cafe,CoffeeLovers,Bagel,WalkUpWindow,Vietnamese,CommunityHub,CommunityHub
20,"The lavender matcha has a nostalgic, cereal-like sweetness. The spacious setup is perfect for working, with a sunny backyard and friendly baristas who remember regulars by name.","Lazy Suzy Cafe & Shop
",40.6996521478953,-73.9254584492736,CoffeeLovers,SpecialtyDrinks,LocalFavorite,Cafe,WorkFriendly,Backyard,CoffeeLovers
21,"A neighborhood that doesn’t argue about labels—Brooklyn, Queens, who cares? The fish market has the freshest shrimp, the shops are solid, and it’s just lively enough without the Bushwick chaos.","Ridgewood
",40.6997803456849,-73.9097337646159,LocalFavorite,LocalFavorite,CommunityHub,FreshProduce,LocalFavorite,Healing,
22,A bustling corner shop where the Ranchero sandwich on a biscuit has a cult following. A regular’s “signature order” even includes cream cheese and jam. Expect long waits—but it’s worth it.,"Norma's Corner Shoppe
",40.7024865725266,-73.9007715781092,Morning,BakeryFav,CoffeeLovers,LocalFavorite,LocalFavorite,OutdoorSeating,BakeryFav
23,"A cozy spot where Star Trek plays in the background, the grilled cheese is legendary, and the baristas might hand you a cup of berries just because. Good coffee, better vibes.","Dweebs
",40.7007105463689,-73.9227619069447,CoffeeLovers,Casual,Bites,CoffeeLovers,Vinyl,Vibrant,WorkFriendly
24,"An Italian espresso so smooth it felt like a gift—probably because the owner’s son actually handed me a free one. Solid coffee, even better hospitality.","Suad's Sports Cafe
",40.701686275775,-73.8968096069447,CoffeeLovers,CoffeeLovers,LocalFavorite,CoffeeLovers,CoffeeLovers,CoffeeLovers,
25,"A café where the owner might pick up a guitar mid-shift, the matcha comes with brown sugar syrup, and the soup is so good you’ll scrape the bowl. Bring a book, stay awhile.","OneTwoOne Café
",40.6860277088574,-73.9224424344814,Cafe,PerformanceVenue,CoffeeLovers,MusicLovers,FamilyStyle,ArtisticEnergy,CommunityHub
26,"Starbucks Ridgewood runs on chaos—mobile orders go missing, drinks are upside down, but sometimes, they slip you a cute sticker that makes you forgive everything for five minutes.","Starbucks
",40.6999184774828,-73.9112024492736,PerformanceVenue,CoffeeLovers,LocalFavorite,Chaos,Morning,UnpredictableService,
27,"The Brooklyn Bagel is a hit, but service can be hit-or-miss. Great for work, Wi-Fi holds up, and smoothies are a lifesaver—just don’t expect a warm welcome every time.","IC Brooklyn Cafe
",40.7013830066797,-73.9263485953005,Bagel,SpecialtyDrinks,WorkFriendly,BackyardSeating,,,
28,"A go-to espresso spot with a loyal following, known for warm hospitality and smooth coffee. While some rave about its charm, others say the atmosphere is better than the drinks.","Amma Cafe
",40.7022088396057,-73.900967022287,CoffeeLovers,Friendly,CoffeeLovers,WineBar,LocalFavorite,GrabAndGo,CozyVibe
29,"A bright, open café where regulars linger over dry cappuccinos and legendary blueberry muffins. Staff make it feel like home—some might even order your favorite treat just for you.","Milk & Pull
",40.7019841412034,-73.9062238934514,Cafe,SunlitSpace,SpecialtyDrinks,BakeryFav,WorkFriendly,Bagel,CommunityHub
30,"A café where vanilla syrup is homemade, banana bread vanishes by noon, and mornings start with a perfect cappuccino. Like stepping into a friend’s kitchen, where coffee comes with conversation.","Anti Co. Cafe
",40.686007108904,-73.9294120357803,BakeryFav,SpecialtyDrinks,Morning,FamilyStyle,LocalFavorite,CoffeeLovers,SmallBatch
31,"Biting into their vegan chocolate almond croissant—flaky, rich, unbelievably good—feels like a secret only the lucky know. Regulars swear by the quiche, but the pastries steal the show.","L'imprimerie
",40.6993166068689,-73.9128297425269,VegetarianFriendly,BakeryFav,BakeryFav,BakeryFav,LocalFavorite,BakeryFav,TastyFood
