ID,neighbourhood,address,latitude,longitude,type,price,zipcode
1,Greenpoint,"60 Wharf Dr, Brooklyn",,,1b,4492,11222
2,Greenpoint,"77 Commercial St, Brooklyn",,,1b,3900,11222
3,Greenpoint,"527 Leonard St, Brooklyn",,,Studio,2450,11222
4,Greenpoint,"109 Russell St, Brooklyn",,,1b,3450,11222
5,Greenpoint,"16 Dupont St, Brooklyn",,,1b,4395,11222
6,Greenpoint,"87 Commercial St, Brooklyn",,,1b,4475,11222
7,Greenpoint,"536 Graham Ave, Brooklyn",,,1b,2600,11222
8,Greenpoint,"85 Commercial St, Brooklyn",,,1b,4157,11222
9,Greenpoint,"150 Bayard St, Brooklyn",,,1b,2800,11222
10,Greenpoint,"144 West St, Brooklyn",,,1b,3950,11222
11,Greenpoint,"1 Eagle St, Brooklyn",,,1b,4686,11222
12,Greenpoint,"150 Eagle St, Brooklyn",,,1b,3665,11222
13,Greenpoint,"75 Dupont St, Brooklyn",,,1b,4526,11222
14,Greenpoint,"2 Blue Slip, Brooklyn",,,1b,4494,11222
15,Greenpoint,"163 Newell St, Brooklyn",,,1b,4000,11222
16,Greenpoint,"300 Richardson St, Brooklyn",,,Studio,3750,11222
17,Greenpoint,"87 Kingsland Ave, Brooklyn",,,1b,2995,11222
18,Greenpoint,"211 McGuinness Blvd, Brooklyn",,,1b,4500,11222
19,Greenpoint,"144 West St, Brooklyn",,,1b,4600,11222
20,Greenpoint,"21 India St, Brooklyn",,,1b,4467,11222
21,Greenpoint,"32 Broome St, Brooklyn",,,1b,3675,11222
22,Greenpoint,"1 Bell Slip, Brooklyn",,,1b,4297,11222
23,Greenpoint,"121 Calyer St, Brooklyn",,,1b,3700,11222
24,Greenpoint,"1 Blue Slip, Brooklyn",,,1b,3710,11222
25,Greenpoint,"492 Morgan Ave, Brooklyn",,,1b,2250,11222
26,Greenpoint,"287 Eckford St, Brooklyn",,,Studio,2500,11222
27,Greenpoint,"131 Noble St, Brooklyn",,,1b,4000,11222
28,Greenpoint,"52 India St, Brooklyn",,,Studio,2600,11222
29,Greenpoint,"101 Sutton St, Brooklyn",,,1b,2500,11222
30,Greenpoint,"168 India St, Brooklyn",,,1b,2239,11222
31,Greenpoint,"669 Meeker Ave, Brooklyn",,,1b,2600,11222
32,Greenpoint,"687 Manhattan Ave, Brooklyn",,,Studio,2250,11222
33,Greenpoint,"189 Norman Ave, Brooklyn",,,1b,2850,11222
34,Greenpoint,"206 Kent St, Brooklyn",,,1b,4050,11222
35,Greenpoint,"182 Franklin St, Brooklyn",,,1b,2050,11222
36,Greenpoint,"415 Leonard St, Brooklyn",,,1b,5000,11222
37,Greenpoint,"818 Manhattan Ave, Brooklyn",,,1b,3199,11222
38,Greenpoint,"123 Guernsey St, Brooklyn",,,Studio,3250,11222
39,Greenpoint,"30 Kent St, Brooklyn",,,Studio,3450,11222
40,Greenpoint,"601 Morgan Ave, Brooklyn",,,Studio,2100,11222
41,Greenpoint,"20 West St, Brooklyn",,,1b,3495,11222
42,Greenpoint,"56 Jewel St, Brooklyn",,,1b,2850,11222
43,Greenpoint,"12 Eckford St, Brooklyn",,,Studio,3450,11222
44,Greenpoint,"1 Blue Slip, Brooklyn",,,1b,4295,11222
45,Greenpoint,"145 McGuinness Blvd, Brooklyn",,,1b,3750,11222
46,Greenpoint,"860 Lorimer St, Brooklyn",,,1b,4985,11222
47, Bushwick,"307 Knickerbocker Ave, Brooklyn",,,1b,2185,11237
48, Bushwick,"449 Irving Ave, Brooklyn",,,1b,3395,11237
49, Bushwick,"191 Knickerbocker Ave, Brooklyn",,,1b,3000,11237
50, Bushwick,"467 Troutman St, Brooklyn",,,1b,2700,11237
51, Bushwick,"1357 Hancock St, Brooklyn",,,1b,3040,11237
52, Bushwick,"364 Harman St, Brooklyn",,,1b,3500,11237
53, Bushwick,"375 Menahan St, Brooklyn",,,1b,2700,11237
54, Bushwick,"386 Himrod St, Brooklyn",,,1b,2599,11237
55, Bushwick,"761 Hart St, Brooklyn",,,1b,2775,11237
56, Bushwick,"393 Weirfield St, Brooklyn",,,1b,3200,11237
57, Bushwick,"358 Grove St, Brooklyn",,,1b,2600,11237
58, Bushwick,"270 Irving Ave, Brooklyn",,,1b,3000,11237
59, Bushwick,"1493 Gates Ave, Brooklyn",,,1b,2350,11237
60, Bushwick,"379 Knickerbocker Ave, Brooklyn",,,1b,2800,11237
61, Bushwick,"154 Grattan St, Brooklyn",,,1b,3000,11237
62, Bushwick,"342 Eldert St, Brooklyn",,,1b,3450,11237
63, Bushwick,"345 Eldert St, Brooklyn",,,1b,3200,11237
64, Bushwick,"336 Himrod St, Brooklyn",,,1b,3250,11237
65, Bushwick,"467 Troutman St, Brooklyn",,,1b,3500,11237
66, Bushwick,"205 Himrod St, Brooklyn",,,1b,2300,11237
67, Bushwick,"385 Troutman St, Brooklyn",,,1b,3850,11237
68, Bushwick,"378 Weirfield St, Brooklyn",,,1b,3200,11237
69, Bushwick,"232 Wilson Ave, Brooklyn",,,1b,2500,11237
70, Bushwick,"387 Bleecker St, Brooklyn",,,1b,2700,11237
71, Bushwick,"307 Grove St, Brooklyn",,,1b,2600,11237
72, Bushwick,"301 Covert St, Brooklyn",,,1b,3000,11237
73, Bushwick,"300 Stanhope St, Brooklyn",,,1b,2700,11237
74, Bushwick,"596 Jefferson Ave, Brooklyn",,,Studio,2500,11221
75, Bushwick,"384 Kosciuszko St, Brooklyn",,,Studio,2495,11221
76, Bushwick,"1223 Bushwick Ave, Brooklyn",,,Studio,2300,11221
77, Bushwick,"1222 Bushwick Ave, Brooklyn",,,Studio,2250,11221
78, Bushwick,"1110 DeKalb Ave, Brooklyn",,,Studio,2500,11221
79, Bushwick,"1240 Madison St, Brooklyn",,,Studio,2350,11221
80, Bushwick,"212 Malcolm X Blvd, Brooklyn",,,Studio,2600,11221
81, Bushwick,"917 Willoughby Ave, Brooklyn",,,Studio,1600,11221
82, Bushwick,"378 Kosciuszko St, Brooklyn",,,Studio,2200,11221
83, Bushwick,"1013 Bushwick Ave, Brooklyn",,,1b,2750,11221
84, Bushwick,"460 Throop Ave, Brooklyn",,,1b,2400,11221
85, Bushwick,"949 Willoughby Ave, Brooklyn",,,1b,2900,11221
86, Bushwick,"668 Bushwick Ave, Brooklyn",,,1b,2900,11221
87, Bushwick,"914 Jefferson Ave, Brooklyn",,,1b,2299,11221
88, Bushwick,"287 Cornelia St , Brooklyn",,,1b,2499,11221
89, Bushwick,"1002 Bushwick Ave, Brooklyn",,,1b,3100,11221
90, Bushwick,"1086 Broadway, Brooklyn",,,1b,2350,11221
91, Bushwick,"802 Lafayette Ave, Brooklyn",,,1b,2700,11221
92, Bushwick,"874 Willoughby Ave, Brooklyn",,,1b,2890,11221
93, Bushwick,"1053 Jefferson Ave, Brooklyn",,,1b,2698,11221
94, Bushwick,"1065 Lafayette Ave, Brooklyn",,,1b,2299,11221
95, Bushwick,"875 DeKalb Ave, Brooklyn",,,1b,2499,11221
96, Bushwick,"499 Evergreen Ave, Brooklyn",,,1b,3050,11221
97, Bushwick,"509 Van Buren St, Brooklyn",,,1b,2500,11221
98, Bushwick,"455 Lexington Ave, Brooklyn",,,1b,3100,11221
