ID,neighbourhood,address,latitude,longitude,type,price,zipcode
1,Greenpoint,"60 Wharf Dr, Brooklyn",40.726905,-73.96067696802020,1b,4492,11222
2,Greenpoint,"77 Commercial St, Brooklyn",40.73795595,-73.95693203093530,1b,3900,11222
3,Greenpoint,"527 Leonard St, Brooklyn",40.72298645,-73.9496097,Studio,2450,11222
4,Greenpoint,"109 Russell St, Brooklyn",40.724278050000000,-73.94452915809060,1b,3450,11222
5,Greenpoint,"16 Dupont St, Brooklyn",40.735521155172400,-73.95798648275860,1b,4395,11222
6,Greenpoint,"87 Commercial St, Brooklyn",40.73746856,-73.95654284,1b,4475,11222
7,Greenpoint,"536 Graham Ave, Brooklyn",40.7212738,-73.9467247,1b,2600,11222
8,Greenpoint,"85 Commercial St, Brooklyn",40.73745932,-73.95655848,1b,4157,11222
9,Greenpoint,"150 Bayard St, Brooklyn",40.71997972727270,-73.94616318181820,1b,2800,11222
10,Greenpoint,"144 West St, Brooklyn",40.7319645,-73.9594913,1b,3950,11222
11,Greenpoint,"1 Eagle St, Brooklyn",40.7347977,-73.9613085,1b,4686,11222
12,Greenpoint,"150 Eagle St, Brooklyn",40.7351052,-73.9545878,1b,3665,11222
13,Greenpoint,"75 Dupont St, Brooklyn",40.735827474576300,-73.95648711864410,1b,4526,11222
14,Greenpoint,"2 Blue Slip, Brooklyn",40.7363271,-73.95974493851440,1b,4494,11222
15,Greenpoint,"163 Newell St, Brooklyn",40.7277318,-73.94946935,1b,4000,11222
16,Greenpoint,"300 Richardson St, Brooklyn",40.719606,-73.9395469,Studio,3750,11222
17,Greenpoint,"87 Kingsland Ave, Brooklyn",40.71938665,-73.94083754266940,1b,2995,11222
18,Greenpoint,"211 McGuinness Blvd, Brooklyn",40.729562100000000,-73.95136918242650,1b,4500,11222
19,Greenpoint,"144 West St, Brooklyn",40.7319645,-73.9594913,1b,4600,11222
20,Greenpoint,"21 India St, Brooklyn",40.73190736363640,-73.95991181818180,1b,4467,11222
21,Greenpoint,"32 Broome St, Brooklyn",40.72208435,-73.9458414,1b,3675,11222
22,Greenpoint,"1 Bell Slip, Brooklyn",40.7373752,-73.95864472436390,1b,4297,11222
23,Greenpoint,"121 Calyer St, Brooklyn",40.727283650000000,-73.95635574449950,1b,3700,11222
24,Greenpoint,"1 Blue Slip, Brooklyn",40.736772450000000,-73.9591308092516,1b,3710,11222
25,Greenpoint,"492 Morgan Ave, Brooklyn",40.72104925,-73.93798124289360,1b,2250,11222
26,Greenpoint,"287 Eckford St, Brooklyn",40.72894855,-73.951863609833,Studio,2500,11222
27,Greenpoint,"131 Noble St, Brooklyn",40.728815600000000,-73.95531538488050,1b,4000,11222
28,Greenpoint,"52 India St, Brooklyn",40.731790950000000,-73.95851877357250,Studio,2600,11222
29,Greenpoint,"101 Sutton St, Brooklyn",40.7264078,-73.9409371,1b,2500,11222
30,Greenpoint,"168 India St, Brooklyn",40.73226975,-73.95315020470090,1b,2239,11222
31,Greenpoint,"669 Meeker Ave, Brooklyn",40.7229045,-73.94064161643230,1b,2600,11222
32,Greenpoint,"687 Manhattan Ave, Brooklyn",40.72506845,-73.95173825578890,Studio,2250,11222
33,Greenpoint,"189 Norman Ave, Brooklyn",40.72738005,-73.94666994215740,1b,2850,11222
34,Greenpoint,"206 Kent St, Brooklyn",40.730937850000000,-73.95228129221020,1b,4050,11222
35,Greenpoint,"182 Franklin St, Brooklyn",40.7314865,-73.957719,1b,2050,11222
36,Greenpoint,"415 Leonard St, Brooklyn",40.7189285,-73.9486261,1b,5000,11222
37,Greenpoint,"818 Manhattan Ave, Brooklyn",40.72837275,-73.95315288933180,1b,3199,11222
38,Greenpoint,"123 Guernsey St, Brooklyn",40.7250928,-73.95382894235510,Studio,3250,11222
39,Greenpoint,"30 Kent St, Brooklyn",40.73028652173910,-73.96007652173910,Studio,3450,11222
40,Greenpoint,"601 Morgan Ave, Brooklyn",40.72502995,-73.93986645244810,Studio,2100,11222
41,Greenpoint,"20 West St, Brooklyn",40.727024,-73.95869,1b,3495,11222
42,Greenpoint,"56 Jewel St, Brooklyn",40.7273228,-73.9467283,1b,2850,11222
43,Greenpoint,"12 Eckford St, Brooklyn",40.72067575,-73.947735,Studio,3450,11222
44,Greenpoint,"1 Blue Slip, Brooklyn",40.736772450000000,-73.9591308092516,1b,4295,11222
45,Greenpoint,"145 McGuinness Blvd, Brooklyn",40.7272593,-73.94999951425910,1b,3750,11222
46,Greenpoint,"860 Lorimer St, Brooklyn",40.7223785,-73.95070170668040,1b,4985,11222
47, Bushwick,"307 Knickerbocker Ave, Brooklyn",40.70178775,-73.92318455,1b,2185,11237
48, Bushwick,"449 Irving Ave, Brooklyn",40.6960029,-73.9088191,1b,3395,11237
49, Bushwick,"191 Knickerbocker Ave, Brooklyn",40.7038198,-73.9269227,1b,3000,11237
50, Bushwick,"467 Troutman St, Brooklyn",40.7085819,-73.9211012,1b,2700,11237
51, Bushwick,"1357 Hancock St, Brooklyn",40.6948568,-73.90886855,1b,3040,11237
52, Bushwick,"364 Harman St, Brooklyn",40.70122945,-73.9173094038557,1b,3500,11237
53, Bushwick,"375 Menahan St, Brooklyn",40.7018197,-73.91374312970650,1b,2700,11237
54, Bushwick,"386 Himrod St, Brooklyn",40.70352955,-73.91613199997230,1b,2599,11237
55, Bushwick,"761 Hart St, Brooklyn",40.70063975,-73.92427975000000,1b,2775,11237
56, Bushwick,"393 Weirfield St, Brooklyn",40.6959607,-73.9065635,1b,3200,11237
57, Bushwick,"358 Grove St, Brooklyn",40.69991927027030,-73.91403737837840,1b,2600,11237
58, Bushwick,"270 Irving Ave, Brooklyn",40.6995432,-73.9155241,1b,3000,11237
59, Bushwick,"1493 Gates Ave, Brooklyn",40.698235350000000,-73.91374436864560,1b,2350,11237
60, Bushwick,"379 Knickerbocker Ave, Brooklyn",40.70054405,-73.92089055,1b,2800,11237
61, Bushwick,"154 Grattan St, Brooklyn",40.70623305,-73.92701851669190,1b,3000,11237
62, Bushwick,"342 Eldert St, Brooklyn",40.69319085714290,-73.90658314285710,1b,3450,11237
63, Bushwick,"345 Eldert St, Brooklyn",40.69384475,-73.90643695406240,1b,3200,11237
64, Bushwick,"336 Himrod St, Brooklyn",40.7023225,-73.91753428571430,1b,3250,11237
65, Bushwick,"467 Troutman St, Brooklyn",40.7085819,-73.9211012,1b,3500,11237
66, Bushwick,"205 Himrod St, Brooklyn",40.699059500000000,-73.92118895376080,1b,2300,11237
67, Bushwick,"385 Troutman St, Brooklyn",40.7062957,-73.92346338584630,1b,3850,11237
68, Bushwick,"378 Weirfield St, Brooklyn",40.69559420689660,-73.90655903448280,1b,3200,11237
69, Bushwick,"232 Wilson Ave, Brooklyn",40.69797015,-73.92129885,1b,2500,11237
70, Bushwick,"387 Bleecker St, Brooklyn",40.70235125000000,-73.91438954565150,1b,2700,11237
71, Bushwick,"307 Grove St, Brooklyn",40.6986304,-73.9157255549859,1b,2600,11237
72, Bushwick,"301 Covert St, Brooklyn",40.6927365,-73.9062767790686,1b,3000,11237
73, Bushwick,"300 Stanhope St, Brooklyn",40.70244425,-73.91845623367590,1b,2700,11237
74, Bushwick,"596 Jefferson Ave, Brooklyn",40.68491885,-73.93415454901680,Studio,2500,11221
75, Bushwick,"384 Kosciuszko St, Brooklyn",40.6919199,-73.93883079134720,Studio,2495,11221
76, Bushwick,"1223 Bushwick Ave, Brooklyn",40.6879879,-73.9150944,Studio,2300,11221
77, Bushwick,"1222 Bushwick Ave, Brooklyn",40.6877123,-73.9154518,Studio,2250,11221
78, Bushwick,"1110 DeKalb Ave, Brooklyn",40.693662950000000,-73.92997611119950,Studio,2500,11221
79, Bushwick,"1240 Madison St, Brooklyn",40.6942721,-73.9131031,Studio,2350,11221
80, Bushwick,"212 Malcolm X Blvd, Brooklyn",40.685999500000000,-73.9299598,Studio,2600,11221
81, Bushwick,"917 Willoughby Ave, Brooklyn",40.69675695,-73.93244639072610,Studio,1600,11221
82, Bushwick,"378 Kosciuszko St, Brooklyn",40.6918661,-73.93904765000000,Studio,2200,11221
83, Bushwick,"1013 Bushwick Ave, Brooklyn",40.6918141,-73.92169873273580,1b,2750,11221
84, Bushwick,"460 Throop Ave, Brooklyn",40.688105,-73.942093,1b,2400,11221
85, Bushwick,"949 Willoughby Ave, Brooklyn",40.697913,-73.9309525782844,1b,2900,11221
86, Bushwick,"668 Bushwick Ave, Brooklyn",40.69700675,-73.93256355264730,1b,2900,11221
87, Bushwick,"914 Jefferson Ave, Brooklyn",40.6864038,-73.92113853172590,1b,2299,11221
88, Bushwick,"287 Cornelia St , Brooklyn",40.6945785,-73.911474142185,1b,2499,11221
89, Bushwick,"1002 Bushwick Ave, Brooklyn",40.6914989,-73.92233563680130,1b,3100,11221
90, Bushwick,"1086 Broadway, Brooklyn",40.6941852,-73.93085064498350,1b,2350,11221
91, Bushwick,"802 Lafayette Ave, Brooklyn",40.690914650000000,-73.94075225,1b,2700,11221
